campus;curso;disciplina;horario;semestre
02;22;09;24t23;2022_2
02;22;09;24t23;2024_2
02;34;09;24m23;2022_2
02;34;09;24m23;2024_2
02;34;09;35n45;2022_2
02;34;09;35n45;2024_2
02;34;09;46m23;2023_1
02;34;09;46m23;2024_1
01;20;10;24m12;2023_1
01;20;10;24m12;2024_1
01;13;11;24t12;2022_2
01;13;11;24t34;2023_1
01;13;11;24t56;2024_1
01;13;11;24t56;2024_2
02;14;11;35m23;2023_1
02;14;11;35m23;2024_1
01;15;11;24m34;2022_2
01;15;11;24m34;2024_1
01;15;11;24m34;2024_2
01;15;11;35n45;2023_1
03;16;11;24m45;2023_1
03;16;11;24m45;2024_1
01;20;11;24m12;2022_2
01;20;11;24m12;2024_2
02;23;11;24t34;2023_1
02;23;11;24t34;2024_1
02;24;11;35t23;2024_1
02;26;11;24t56;2023_1
02;26;11;24t56;2024_1
02;26;11;35n23;2022_2
02;26;11;35n23;2024_2
02;34;11;35t23;2023_1
02;34;11;35t45;2022_2
02;34;11;35t45;2024_2
03;17;12;24t45;2023_1
03;19;12;24t12;2024_1
03;19;12;24t23;2023_1
02;06;13;24m45;2022_2
02;06;13;24m45;2023_1
02;06;13;24m45;2024_1
02;06;13;24m45;2024_2
01;13;13;35t12;2023_1
01;13;13;35t12;2024_1
01;13;13;35t12;2024_2
01;13;13;35t34;2022_2
02;14;13;36t23;2022_2
02;14;13;36t23;2024_2
01;15;13;35m12;2022_2
01;15;13;35m12;2024_2
01;15;13;35n45;2023_1
01;15;13;35n45;2024_1
02;16;13;35m45;2024_1
03;17;13;24m45;2024_2
03;17;13;24t23;2022_2
03;19;13;24m45;2022_2
01;20;13;35m34;2022_2
01;20;13;35m34;2023_1
01;20;13;35m34;2024_1
01;20;13;35m34;2024_2
02;23;13;35t12;2022_2
02;23;13;35t12;2024_2
02;24;13;24m23;2024_1
02;26;13;35t34;2023_1
02;26;13;35t34;2024_1
02;34;13;24m23;2023_1
02;06;14;24m45;2022_2
02;06;14;24m45;2023_1
02;06;14;24m45;2024_1
02;06;14;24m45;2024_2
01;12;14;24m56;2023_1
01;12;14;24m56;2024_1
01;13;14;24m12;2022_2
01;13;14;24m12;2023_1
01;13;14;24m12;2024_1
