edo                                    - engenharia mecanica       - 24t56  - 02
calculo 3a                             - engenharia mecanica       - 24t34  - 02
calculo 3a                             - fisica                    - 24t56  - 02
calculo 3a                             - quimica                   - 35t23  - 02
calculo 1c                             - arquitetura               - 35t45  - 02
edo                                    - engenharia de alimentos   - 35t23  - 02
calculo numerico                       - fisica                    - 35t34  - 02
calculo 1c                             - biomedicina               - 46t23  - 02
calculo 1c                             - biotecnologia             - 46t45  - 02
calculo 2b                             - agronomia                 - 46t23  - 02
calculo 2b                             - agronomia                 - 46t45  - 02
calculo 1c                             - ciencias ambientais       - 46t23  - 02
calculo 1a                             - engenharia de software    - 246n23 - 02
calculo 1a                             - sistemas de informacao    - 246n45 - 02
calculo 2a                             - fisica                    - 246n23 - 02
algebra linear                         - ciencias economicas       - 24n45  - 02
calculo 2b                             - administracao             - 35n23  - 02
calculo 1b                             - quimica                   - 35n45  - 02
geometria analitica                    - fisica                    - 35n45  - 02
calculo 1b                             - ciencias economicas       - 35n23  - 02
calculo 1b                             - administracao             - 35n45  - 02
estatistica descritiva e probabilidade - administracao             - 46n23  - 02
estatistica                            - ciencias contabeis        - 46n45  - 02
estatistica inferencial                - administracao             - 46n45  - 02
